run,case,n_total,n_sub,mae_norm,rmse_norm,pearson_norm,mean_shift_norm,mae_raw,p99_raw_sub,p99_raw_full,top10_mae_sub_vs_full,top10_mean_sub,top10_mean_full,top10_mean_shift,top10_ratio_sub_over_full
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,9850,2000,0.14185430109500885,0.1886925846338272,0.9229553762698761,0.028896210715174675,0.3404754102230072,5.488810873031616,4.263528299331665,0.6288745999336243,3.0904479026794434,2.8093149662017822,0.28113293647766113,1.100071704262002
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,13759,2000,0.17120885848999023,0.2456030398607254,0.9710189275857993,-0.08658972382545471,0.5266116857528687,10.60140474319458,10.31382776260376,1.0963711738586426,7.764642238616943,7.351251602172852,0.4133906364440918,1.0562340481341772
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,10627,2000,0.10929962247610092,0.16582083702087402,0.9658544524522146,-0.03800666704773903,0.3559725284576416,6.945227422714233,7.585768694877625,0.6159804463386536,4.253606796264648,4.378673553466797,-0.12506675720214844,0.9714372958668959
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,11325,2000,0.16079305112361908,0.22102580964565277,0.9488823274935115,-0.08348428457975388,0.4752237796783447,7.726663451194763,6.541725778579711,1.2424516677856445,4.899572372436523,4.692243576049805,0.20732879638671875,1.0441854292142727
r3_clean_xyzgeom_tgtw_s1234,AG/slow/XU_YI_CAI,10776,2000,0.1527075171470642,0.20161768794059753,0.9006193021912678,-0.012471958063542843,0.3841792643070221,5.48433343887329,5.246589803695678,0.5781530141830444,2.8788652420043945,2.7813494205474854,0.09751582145690918,1.035060615086859
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_FENG,13590,2000,0.1719190627336502,0.24910984933376312,0.9704166793138352,-0.0819508507847786,0.41167333722114563,9.717451086044312,11.40669075012207,0.9022517204284668,7.009975433349609,7.703930854797363,-0.6939554214477539,0.9099219042164006
r3_clean_xyzgeom_tgtw_s1234,AG/fast/RAN_QING_BO,17682,2000,0.21462538838386536,0.30138900876045227,0.9133443292797533,-0.1276293396949768,0.39971742033958435,10.798785305023177,10.062490816116322,0.45045632123947144,5.645287990570068,5.560897350311279,0.08439064025878906,1.0151757234384213
r3_clean_xyzgeom_tgtw_s1234,AG/slow/CHENG_LU_LI,11078,2000,0.19356130063533783,0.24934758245944977,0.9115259990370556,-1.7095804651034996e-05,0.5367326140403748,6.468215899467468,6.227048530578613,1.0847822427749634,4.821835041046143,4.6919755935668945,0.12985944747924805,1.0276769230548148
r3_clean_xyzgeom_tgtw_s7,AG/slow/WEI_BAO_XING,9850,2000,0.10353986918926239,0.12441577762365341,0.9656736249394315,-0.04567990079522133,0.27047187089920044,4.7739377689361575,4.282317085266113,0.4957347512245178,3.173492193222046,3.147594690322876,0.025897502899169922,1.0082277120932317
r3_clean_xyzgeom_tgtw_s7,AG/slow/LIU_JIN_LIANG,13759,2000,0.1895618885755539,0.2449333518743515,0.9635750549098068,-0.014953956939280033,0.5983023643493652,9.148263339996337,7.1789113664627076,1.4277806282043457,7.3123040199279785,5.886703968048096,1.4256000518798828,1.2421728796991534
r3_clean_xyzgeom_tgtw_s7,AG/fast/FAN_JIAN_MING,10627,2000,0.0944102555513382,0.11904725432395935,0.9724214277529655,0.005938909947872162,0.27286890149116516,5.994999623298645,6.02704213142395,0.43155068159103394,3.744425058364868,3.7481915950775146,-0.0037665367126464844,0.9989951056081039
