run,case,mode,layer,max_num_neighbors,cap_frac,mean_degree,n_query,n_edges
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,full,0,16,1.0,16.0,2463,39408
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,full,1,16,1.0,16.0,2463,39408
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,full,2,16,1.0,16.0,616,9856
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,full,3,16,0.9935064911842346,15.988636016845703,616,9849
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,full,4,16,1.0,16.0,154,2464
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,full,5,16,0.9545454382896423,15.805194854736328,154,2434
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,full,6,16,1.0,16.0,39,624
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,full,7,16,0.692307710647583,14.589743614196777,39,569
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,sub,0,16,0.9960000514984131,15.992000579833984,500,7996
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,sub,1,16,0.0,6.816000461578369,500,3408
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,sub,2,16,0.9760000705718994,15.904000282287598,125,1988
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,sub,3,16,0.0,7.048000335693359,125,881
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,sub,4,16,0.8125,15.09375,32,483
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,sub,5,16,0.0,6.125,32,196
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,sub,6,16,0.375,12.75,8,102
r3_clean_xyzgeom_tgtw_s1234,AG/slow/WEI_BAO_XING,sub,7,16,0.0,3.25,8,26
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,full,0,16,1.0,16.0,3440,55040
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,full,1,16,1.0,16.0,3440,55040
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,full,2,16,1.0,16.0,860,13760
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,full,3,16,0.9965116381645203,15.991860389709473,860,13753
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,full,4,16,1.0,16.0,215,3440
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,full,5,16,0.9813953638076782,15.934884071350098,215,3426
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,full,6,16,1.0,16.0,54,864
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,full,7,16,0.8148148059844971,15.314814567565918,54,827
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,sub,0,16,1.0,16.0,500,8000
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,sub,1,16,0.0,7.8600006103515625,500,3930
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,sub,2,16,0.9600000381469727,15.7760009765625,125,1972
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,sub,3,16,0.0,7.9120001792907715,125,989
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,sub,4,16,0.6875,14.5625,32,466
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,sub,5,16,0.0,6.0625,32,194
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,sub,6,16,0.5,12.375,8,99
r3_clean_xyzgeom_tgtw_s1234,AG/slow/LIU_JIN_LIANG,sub,7,16,0.0,3.0,8,24
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,full,0,16,1.0,16.0,2657,42512
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,full,1,16,0.9736545085906982,15.9480619430542,2657,42374
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,full,2,16,1.0,16.0,665,10640
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,full,3,16,0.9819548726081848,15.957895278930664,665,10612
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,full,4,16,1.0,16.0,167,2672
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,full,5,16,0.9580838680267334,15.868264198303223,167,2650
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,full,6,16,1.0,16.0,42,672
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,full,7,16,0.738095223903656,14.928571701049805,42,627
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,sub,0,16,0.7240000367164612,15.268000602722168,500,7634
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,sub,1,16,0.0,5.008000373840332,500,2504
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,sub,2,16,0.8640000224113464,15.632000923156738,125,1954
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,sub,3,16,0.0,5.240000247955322,125,655
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,sub,4,16,0.71875,14.90625,32,477
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,sub,5,16,0.0,4.75,32,152
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,sub,6,16,0.125,11.75,8,94
r3_clean_xyzgeom_tgtw_s1234,AG/fast/FAN_JIAN_MING,sub,7,16,0.0,3.0,8,24
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,full,0,16,1.0,16.0,2832,45312
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,full,1,16,1.0,16.0,2832,45312
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,full,2,16,1.0,16.0,708,11328
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,full,3,16,1.0,16.0,708,11328
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,full,4,16,1.0,16.0,177,2832
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,full,5,16,0.9548022747039795,15.8305082321167,177,2802
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,full,6,16,1.0,16.0,45,720
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,full,7,16,0.7555555701255798,15.222222328186035,45,685
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,sub,0,16,0.9920000433921814,15.992000579833984,500,7996
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,sub,1,16,0.0,7.716000556945801,500,3858
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,sub,2,16,0.968000054359436,15.880001068115234,125,1985
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,sub,3,16,0.0,7.86400032043457,125,983
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,sub,4,16,0.6875,14.46875,32,463
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,sub,5,16,0.0,5.6875,32,182
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,sub,6,16,0.375,12.5,8,100
r3_clean_xyzgeom_tgtw_s1234,AG/fast/HAN_JIAN_JUN,sub,7,16,0.0,3.25,8,26
r3_clean_xyzgeom_tgtw_s1234,AG/slow/XU_YI_CAI,full,0,16,1.0,16.0,2694,43104
