epoch,global_step,cos_grad_data_no_slip,cos_grad_data_momentum,cos_grad_data_continuity,cos_grad_data_inlet_bc,cos_grad_data_rcr_bc,grad_norm_data,grad_norm_physics,gradient_norm,gradient_clip_flag,no_slip_raw,inlet_bc_raw,data_total,pde_total,loss_ratio_raw,lambda_phy,lambda_target,lambda_clamped_high,ema_data,ema_physics
0,50,0.42397770285606384,0.0,0.0,0.3226611316204071,-0.3101262152194977,0.3348245620727539,0.0,0.4997405707836151,False,0.05526650324463844,0.01567000150680542,0.08217522501945496,0.0,82175225019.45496,0.0,0.0,False,4.799767847145959,0.0
0,100,0.9243341684341431,0.0,0.0,0.11271610856056213,-0.5235631465911865,0.4032452404499054,0.0,0.4606836140155792,False,0.02384735271334648,0.006200223229825497,0.16151754558086395,0.0,161517545580.86395,0.0,0.0,False,3.277294278362876,0.0
1,150,-0.13117684423923492,0.0,0.0,-0.2994130253791809,-0.12736034393310547,0.9045053124427795,0.0,0.8763884902000427,False,0.034810714423656464,0.005108250770717859,1.0758461952209473,0.0,1075846195220.9473,0.0,0.0,False,2.479241002730385,0.0
1,200,0.037925343960523605,0.0,0.0,0.040248580276966095,-0.39512062072753906,0.6157885789871216,0.0,0.6018220782279968,False,0.01860347017645836,0.0030169275123625994,0.30554768443107605,0.0,305547684431.07605,0.0,0.0,False,1.8038465176025134,0.0
1,250,0.3597323000431061,0.0,0.0,-0.2894384264945984,-0.10563842952251434,0.46800193190574646,0.0,0.4945400655269623,False,0.03192434087395668,0.12093579769134521,0.06973598897457123,0.0,69735988974.57123,0.0,0.0,False,1.5277803681513225,0.0
2,300,0.14848151803016663,0.0,0.0,0.15128162503242493,0.22076380252838135,0.25607049465179443,0.0,0.32415831089019775,False,0.034657545387744904,0.0023244312033057213,0.09012877196073532,0.0,90128771960.73532,0.0,0.0,False,1.3048560908046254,0.0
2,350,-0.03798096626996994,0.0,0.0,0.02908293530344963,0.3468656539916992,0.5477660894393921,0.0,0.5907193422317505,False,0.019305072724819183,0.007895407266914845,0.594773530960083,0.0,594773530960.083,0.0,0.0,False,1.0968114583153545,0.0
2,400,0.17313458025455475,0.0,0.0,0.16916945576667786,-0.34719938039779663,0.5763791799545288,0.0,0.5910475850105286,False,0.02470836229622364,0.0041146306321024895,0.1588229238986969,0.0,158822923898.6969,0.0,0.0,False,1.1239552282348375,0.0
3,450,0.3026435077190399,0.0,0.0,0.1943988800048828,0.10390190035104752,0.42313152551651,0.0,0.5108363628387451,False,0.02748272381722927,0.0013860756298527122,0.052397001534700394,0.0,52397001534.70039,0.0,0.0,False,1.0521674564753403,0.0
3,500,0.05470592901110649,0.0,0.0,-0.06193620339035988,0.3954591453075409,5.473710060119629,0.0,5.5044846534729,True,0.016698582097887993,0.0023484094999730587,5.269983768463135,0.0,5269983768463.135,0.0,0.0,False,1.0802674058968738,0.0
