support_order,source_point_index,x_true_mm,y_true_mm,z_true_mm,distance_to_wall_true_mm,current_true_near_wall_1p5,legacy_near_wall_tag,legacy_distance_to_wall_true_mm,pnpp_fps_center,pnpp_knn_membership_count
0,93268,-3.7283403873443604,3.6505072116851807,276.9915466308594,4.093542575836182,0,0,104.10188293457031,0,1
1,592269,15.557915687561035,-18.331539154052734,-69.6323471069336,7.875059604644775,0,0,7.875059604644775,0,1
2,241996,11.391153335571289,-3.3281161785125732,182.94375610351562,0.8844484090805054,1,0,9.69973087310791,0,0
3,121903,8.542947769165039,2.822460412979126,249.03399658203125,1.823588490486145,0,0,76.07080841064453,0,1
4,797566,-5.706759452819824,1.3264676332473755,119.51768493652344,1.0693449974060059,1,0,1.0693448781967163,0,1
5,219759,9.898394584655762,8.895256996154785,229.2453155517578,2.130082845687866,0,0,57.15467834472656,0,0
6,694812,-34.45008850097656,-31.942312240600586,-63.98301696777344,1.3571217060089111,1,0,1.3571217060089111,0,0
7,918748,24.271944046020508,-47.59487533569336,-122.35256958007812,0.6384751796722412,1,0,0.6384751796722412,0,1
8,515416,7.715146064758301,4.980162143707275,167.094482421875,3.638681650161743,0,0,3.638681650161743,0,1
9,804103,11.792057991027832,-7.40290641784668,116.55708312988281,1.6741132736206055,0,0,1.6741132736206055,0,1
10,335283,-3.8547821044921875,24.46776008605957,271.7675476074219,0.8550717234611511,1,0,101.32462310791016,0,1
11,974462,1.6286633014678955,-106.39247131347656,-122.08478546142578,0.7099640369415283,1,0,43.61054611206055,0,2
12,724862,-37.723018646240234,-54.61412048339844,-80.42176055908203,0.7071414589881897,1,0,0.7071414589881897,0,1
13,189176,11.670732498168945,1.0413848161697388,201.38925170898438,0.962135374546051,1,0,28.514596939086914,0,1
14,152820,-12.650571823120117,3.8061792850494385,197.66921997070312,0.8818002939224243,1,0,25.38150405883789,0,2
15,715033,-37.581871032714844,-49.00408172607422,-76.98546600341797,1.090223789215088,1,0,1.090223789215088,0,1
