x,y,z,wss_cfd,wss_pred,err_wss,abs_err_wss
26.443487,21.038797,101.81329,12.621658,12.519085,-0.10257339,0.10257339
27.499245,19.445182,101.95684,16.356136,13.24008,-3.1160564,3.1160564
27.160959,20.433275,101.86753,13.957237,12.706131,-1.2511063,1.2511063
26.446973,19.968512,101.84518,13.840351,12.896346,-0.94400501,0.94400501
25.610491,21.700682,101.62505,14.389439,12.487119,-1.9023199,1.9023199
25.560282,20.592577,101.66618,11.631022,12.618834,0.98781204,0.98781204
27.386572,21.316435,101.73907,13.120419,12.621686,-0.49873257,0.49873257
26.618631,22.075294,101.64593,14.832612,12.49649,-2.3361225,2.3361225
26.513087,18.90147,101.80894,17.051548,13.178514,-3.8730345,3.8730345
28.004559,20.465385,101.80587,13.493206,12.955673,-0.53753281,0.53753281
27.423909,18.258102,101.88625,20.125074,13.613819,-6.5112553,6.5112553
25.76303,22.886618,101.48818,21.478226,12.504196,-8.9740295,8.9740295
28.376597,18.625024,101.88872,19.332489,14.184971,-5.1475182,5.1475182
28.291094,17.550103,101.93272,18.433121,14.286885,-4.1462355,4.1462355
25.594357,19.509955,101.60511,13.325243,13.022921,-0.30232239,0.30232239
28.592081,19.637427,101.78559,16.620975,13.718461,-2.9025145,2.9025145
25.413803,23.864659,101.34489,24.175537,12.48912,-11.686417,11.686417
24.682791,23.369997,101.28779,22.218473,12.461074,-9.7573996,9.7573996
28.2235,16.490453,101.88135,17.568918,14.476771,-3.0921469,3.0921469
27.372865,17.167038,101.78067,19.454119,13.977498,-5.4766207,5.4766207
24.732038,22.291156,101.31446,19.509874,12.483786,-7.0260887,7.0260887
29.217283,17.913128,101.8381,16.37985,14.484402,-1.8954487,1.8954487
24.657286,24.454516,101.1849,23.421988,12.495089,-10.926899,10.926899
29.15971,16.86508,101.88926,17.277239,14.485904,-2.7913351,2.7913351
24.69995,21.185651,101.33809,13.151655,12.586414,-0.56524086,0.56524086
