x,y,z,map_dist,map_valid,wss_cfd,wss_pred,err_wss,abs_err_wss
-31.227434,0.3886694,30.462009,0.00018864218,1,1.2576611,1.2126006,-0.045060525,0.045060525
-31.189796,1.0977238,31.61058,0.00020705174,1,1.1536203,1.3056196,0.15199929,0.15199929
-30.08975,1.0996537,30.721642,0.00020544294,1,1.2214849,1.2060888,-0.015396144,0.015396144
-32.567204,0.45300224,31.195568,0.00023723509,1,1.1616889,1.3136687,0.15197982,0.15197982
-25.517067,2.5152206,27.889599,0.00024453586,1,1.1297179,1.0735487,-0.056169254,0.056169254
-26.711531,2.6352346,29.246382,0.00017564825,1,1.1526101,1.1271153,-0.025494747,0.025494747
-25.536997,3.9173846,29.738358,0.0002266697,1,1.0760521,1.1545341,0.078482001,0.078482001
-27.080458,1.4669055,28.284857,0.00017590157,1,1.1351126,1.0778878,-0.057224864,0.057224864
-27.946482,1.8333694,29.599262,0.00020754026,1,1.1797514,1.1339821,-0.045769325,0.045769325
-24.092995,3.9154024,28.283737,0.0002209523,1,1.0793241,1.0802436,0.00091955322,0.00091955322
-23.857838,5.0073414,29.601488,0.00018979525,1,0.99506314,1.1361776,0.14111449,0.14111449
-30.201378,0.3094162,29.726152,0.00017051654,1,1.2321121,1.149722,-0.082390099,0.082390099
-29.130194,0.97544765,29.749161,0.00017086306,1,1.2019043,1.1359573,-0.065947013,0.065947013
-33.322308,-0.031333242,30.147392,0.00019001655,1,1.2714653,1.2712881,-0.00017721054,0.00017721054
-34.323242,0.23453307,31.144318,0.00017805918,1,1.086067,1.3452563,0.25918936,0.25918936
-32.207157,-0.097998053,29.849091,0.00020449563,1,1.2875253,1.2153996,-0.072125757,0.072125757
-28.317833,0.67700559,28.676527,0.00020686785,1,1.1492651,1.0884514,-0.060813711,0.060813711
-26.319078,0.89731693,26.929121,0.00022384895,1,1.0887147,1.029819,-0.058895681,0.058895681
-34.417973,-0.236186,29.588337,0.00022154781,1,1.3036045,1.2745446,-0.029059958,0.029059958
-35.796165,0.096821353,30.158157,0.00015444802,1,1.1678833,1.3338277,0.16594435,0.16594435
-23.729483,14.435683,24.87855,0.00020057324,1,0.85296554,1.0719551,0.21898959,0.21898959
-23.046133,14.080899,26.316156,0.00022752989,1,0.75790904,1.1127143,0.35480524,0.35480524
-24.272137,15.232796,26.186749,0.00017457296,1,0.71196285,1.1932754,0.48131255,0.48131255
-25.15523,15.615643,24.627375,0.00023935785,1,0.78148925,1.0936246,0.31213538,0.31213538
-22.776196,4.9796753,28.437614,0.00014433393,1,1.0184013,1.1024691,0.084067839,0.084067839
-31.140766,-0.22556758,29.399357,0.0001807109,1,1.2561199,1.15436,-0.10175992,0.10175992
-29.395535,0.048230462,28.896126,0.00020920722,1,1.1844235,1.1040351,-0.080388434,0.080388434
-33.087372,-0.60760206,28.893263,0.00023250197,1,1.3081501,1.1998607,-0.10828939,0.10828939
-23.906256,2.9319301,26.820433,0.00024023374,1,1.1722947,1.0281609,-0.14413373,0.14413373
-27.622046,0.22517979,27.530386,0.00019212579,1,1.0835864,1.0416095,-0.041976868,0.041976868
-24.90745,1.5210217,26.155758,0.00018797832,1,1.1377552,0.99626097,-0.14149427,0.14149427
-35.541382,-0.54514939,28.632008,0.00019091241,1,1.2845327,1.2842422,-0.00029046551,0.00029046551
-36.565987,-0.12533744,29.116673,0.00019804624,1,1.2590649,1.3257197,0.066654807,0.066654807
-22.432281,13.169016,24.984999,0.00019573879,1,0.97889333,1.0246885,0.045795205,0.045795205
-24.348549,14.690304,23.513597,0.00016107761,1,0.94221205,1.0152769,0.073064815,0.073064815
-22.590834,5.9586401,29.471487,0.00019557541,1,0.96112423,1.1455579,0.18443368,0.18443368
-22.780251,4.0918794,27.245306,0.00023983422,1,1.1252061,1.0528017,-0.072404406,0.072404406
-21.593826,12.596581,27.795828,0.00019397102,1,0.77396932,1.0917022,0.31773286,0.31773286
-22.050045,13.272581,28.805452,0.00022799575,1,0.73349591,1.173522,0.44002605,0.44002605
-22.455671,13.686451,27.634996,0.0002052371,1,0.7249446,1.1499572,0.42501265,0.42501265
-30.308187,-0.34562224,28.948931,0.00016050647,1,1.2124509,1.1141917,-0.098259242,0.098259242
-31.918455,-0.62632436,28.873926,0.0002386436,1,1.2755462,1.1572838,-0.11826243,0.11826243
-21.446426,12.217255,28.947178,0.00023198611,1,0.77475533,1.129088,0.35433263,0.35433263
-28.774281,-0.35604656,27.914865,0.00021712996,1,1.1146773,1.0616941,-0.052983204,0.052983204
-27.03404,-0.33910421,26.420643,0.00020231459,1,1.0247449,1.0010572,-0.023687689,0.023687689
-25.83511,-0.16593626,25.34244,0.00022318032,1,1.0181754,0.95107866,-0.067096773,0.067096773
-34.272396,-0.77952915,28.456181,0.00019605001,1,1.3032323,1.2326432,-0.070589118,0.070589118
-36.768044,-0.48823231,28.140741,0.00025032739,1,1.2534183,1.3204821,0.067063857,0.067063857
-23.168465,13.679661,23.621355,0.00018767364,1,1.0389955,1.0150467,-0.023948816,0.023948816
-21.99511,12.966294,26.519995,0.0001977359,1,0.82877305,1.0579297,0.22915664,0.22915664
-25.425844,15.477361,23.123873,0.00018217263,1,0.90145988,0.9971264,0.095666516,0.095666516
-21.702278,5.8974042,28.475067,0.00019981151,1,0.96463638,1.1150106,0.15037419,0.15037419
-21.74378,5.0530186,27.499838,0.00021825237,1,1.0595094,1.078826,0.019316581,0.019316581
-20.980064,8.9454308,29.462688,0.00016754029,1,0.89856663,1.1076954,0.20912874,0.20912874
-21.56208,7.9332371,29.93972,0.00018705916,1,0.92237538,1.1496274,0.22725197,0.22725197
-21.620497,9.0397577,30.485909,0.00017248539,1,0.90895406,1.1587343,0.24978028,0.24978028
-21.139095,11.102261,29.319172,0.00023676356,1,0.82560089,1.1079631,0.28236222,0.28236222
-21.560757,11.105015,30.452971,0.00014938076,1,0.84137918,1.1662146,0.3248354,0.3248354
-21.565004,11.914354,29.901819,0.00022110079,1,0.80068603,1.1629166,0.36223053,0.36223053
-21.226622,10.053568,29.916693,0.00020185599,1,0.86979352,1.1297288,0.2599353,0.2599353
-31.003201,-0.8557995,28.401768,0.00019103362,1,1.2073473,1.1040471,-0.10330026,0.10330026
-29.857843,-0.73872298,28.189022,0.00021784278,1,1.1563873,1.0793815,-0.077005858,0.077005858
-32.135033,-1.2318847,27.876364,0.00019327728,1,1.219238,1.113752,-0.10548598,0.10548598
-20.902523,11.3703,28.067163,0.00021869008,1,0.83657628,1.0548993,0.21832306,0.21832306
-22.511923,3.2683847,26.001129,0.00019419245,1,1.2170208,1.0008142,-0.21620656,0.21620656
-23.394875,2.0853162,25.407438,0.00022397933,1,1.2103001,0.96449534,-0.24580479,0.24580479
-28.153162,-0.91917449,26.826717,0.00019330378,1,1.0240318,1.0132482,-0.010783563,0.010783563
-24.203148,0.75779164,24.653383,0.00020937435,1,1.1176459,0.91563491,-0.20201102,0.20201102
-34.843239,-1.2407669,27.513115,0.0001885643,1,1.2139748,1.2200142,0.0060394462,0.0060394462
-33.462669,-1.3082958,27.621128,0.00020867039,1,1.2316729,1.1598758,-0.071797097,0.071797097
-37.603947,0.10339615,28.743093,0.00021961481,1,1.234589,1.3445865,0.10999751,0.10999751
-36.090656,-1.0770538,27.379719,0.00023004593,1,1.1909377,1.2749886,0.084050984,0.084050984
-23.747721,14.024561,22.365877,0.00021466971,1,1.0661834,0.98748415,-0.078699283,0.078699283
-22.089689,12.67697,23.47827,0.00024869851,1,1.1696604,0.99918271,-0.17047765,0.17047765
-21.473749,12.199872,25.620966,0.00018477584,1,1.0056647,1.0058806,0.00021585982,0.00021585982
-24.756714,14.803705,22.229113,0.00016441711,1,0.99902614,0.97558738,-0.023438759,0.023438759
-21.613508,6.8682528,29.289747,0.00019473634,1,0.92935831,1.1365114,0.20715305,0.20715305
-21.165844,11.923008,26.830887,0.0002131106,1,0.89814974,1.0225916,0.12444188,0.12444188
-28.21916,15.922329,20.813446,0.00020601912,1,1.026184,0.92446201,-0.10172201,0.10172201
-28.454365,16.381084,21.955877,0.00021657262,1,0.90108312,0.96171257,0.060629453,0.060629453
-29.377672,16.146614,21.174377,0.00019169007,1,0.98919196,0.93476902,-0.054422945,0.054422945
-21.624498,4.2902312,26.426357,0.00021246324,1,1.1760678,1.0350366,-0.14103125,0.14103125
-20.912857,7.8167949,28.98811,0.00021223829,1,0.91330701,1.1056203,0.19231326,0.19231326
-20.692734,10.035573,28.718769,0.00017627385,1,0.87441018,1.0656118,0.1912016,0.1912016
-22.368744,6.9981499,30.290989,0.00020530829,1,0.93821143,1.1704064,0.23219496,0.23219496
-29.354063,-1.2497551,27.253298,0.00020010663,1,1.0679646,1.0324651,-0.035499526,0.035499526
-27.389887,-1.5055532,25.469944,0.00017725801,1,0.92876696,0.94898122,0.020214263,0.020214263
-24.771729,-0.66179669,23.718102,0.00017478603,1,0.99125236,0.84656182,-0.14469054,0.14469054
-37.622692,-0.26534081,27.800161,0.00017701148,1,1.214361,1.3385745,0.12421342,0.12421342
-38.354153,0.24635282,27.91098,0.00020457832,1,1.2020179,1.3525061,0.15048817,0.15048817
-37.212734,-0.8080985,27.100492,0.00022229918,1,1.1541796,1.3124078,0.15822824,0.15822824
-22.688667,13.127186,22.297632,0.00022003169,1,1.1569016,0.99253848,-0.16436313,0.16436313
-21.474041,12.118695,24.399477,0.0001759715,1,1.1487159,0.99514238,-0.15357354,0.15357354
-25.61854,15.363093,22.045197,0.00022445341,1,0.97584626,0.95984366,-0.016002599,0.016002599
-20.882816,6.7989998,28.363871,0.0001756307,1,0.93628791,1.0995953,0.16330734,0.16330734
-20.879677,5.9397635,27.569422,0.00023306669,1,1.0043522,1.0829716,0.078619429,0.078619429
-27.320442,16.00625,21.61957,0.00022919784,1,0.96197083,0.94581347,-0.016157358,0.016157358
-29.087358,15.699651,20.038212,0.00019842772,1,1.0680792,0.9101979,-0.15788126,0.15788126
-20.824354,5.191381,26.691475,0.00019708241,1,1.1058621,1.0568284,-0.04903365,0.04903365
-20.461763,8.7686491,28.467371,0.00021982963,1,0.90481764,1.0642354,0.15941776,0.15941776
-30.45355,-1.3547601,27.574953,0.00018915793,1,1.1235769,1.0556774,-0.067899511,0.067899511
-31.242847,-1.3044424,27.741173,0.00020942069,1,1.1704688,1.0800206,-0.090448137,0.090448137
-32.595737,-2.0264199,26.583389,0.00022018883,1,1.0883379,1.0566297,-0.031708208,0.031708208
-20.545013,10.932449,26.910275,0.00016125875,1,0.94630436,1.0030798,0.056775461,0.056775461
-22.023396,2.5116372,24.81377,0.00018535981,1,1.1920333,0.95047041,-0.24156286,0.24156286
-21.289314,3.5581791,25.362114,0.00018435317,1,1.2159225,0.98686003,-0.22906244,0.22906244
-22.718493,1.390606,24.130226,0.00020634608,1,1.1132745,0.90526155,-0.20801299,0.20801299
-28.870707,-1.886462,26.147623,0.00019994466,1,0.97078974,0.98246789,0.011678146,0.011678146
-26.208838,-1.6973836,24.032263,0.00020682599,1,0.89485861,0.88523934,-0.0096192682,0.0096192682
-23.304993,0.18672761,23.304852,0.00018844613,1,0.99430738,0.83039772,-0.16390967,0.16390967
-38.130001,-0.3138499,27.033651,0.00022125073,1,1.13907,1.3359202,0.19685022,0.19685022
-34.115452,-1.9251245,26.551382,0.00019527098,1,1.0821077,1.1219122,0.039804411,0.039804411
-35.463181,-1.7783544,26.481441,0.00020889219,1,1.0581116,1.189038,0.13092648,0.13092648
-36.696987,-1.4882739,26.301737,0.00019141935,1,1.0253955,1.2416216,0.21622611,0.21622611
-23.269159,13.553403,21.274405,0.00018145845,1,1.1329691,0.98043942,-0.1525297,0.1525297
-24.213125,14.274885,21.12314,0.0002245441,1,1.076209,0.96718351,-0.1090255,0.1090255
-21.648067,12.263775,22.186798,0.00016994993,1,1.2252605,0.98859008,-0.23667041,0.23667041
-21.121555,11.778909,23.258554,0.00020429719,1,1.2285588,0.9925843,-0.23597449,0.23597449
-20.751005,11.299395,25.910978,0.00015521128,1,1.0354498,0.99025254,-0.045197212,0.045197212
-20.941055,11.529,25.007698,0.00021519747,1,1.1263551,0.98914813,-0.13720692,0.13720692
-25.246782,14.978164,21.119614,0.00024551813,1,1.0427358,0.94999067,-0.092745089,0.092745089
-26.413847,15.898336,22.428062,0.00020721243,1,0.90564573,0.9725384,0.066892674,0.066892674
-27.085897,15.606987,20.477116,0.00020201259,1,1.0568233,0.92559378,-0.1312295,0.1312295
-26.279791,15.540589,21.294706,0.00019458848,1,1.0097002,0.94169879,-0.068001443,0.068001443
-30.22032,15.771518,20.413082,0.00021550828,1,1.0490241,0.9172397,-0.13178438,0.13178438
-27.939688,15.533148,19.677635,0.000173431,1,1.0862295,0.91581045,-0.170419,0.170419
-20.598221,4.5406423,25.72863,0.00017291443,1,1.1722788,1.0220551,-0.15022363,0.15022363
-20.341711,7.7180758,28.052147,0.00016864953,1,0.92729878,1.0697969,0.14249807,0.14249807
-20.218616,9.4857206,27.750328,0.00020676021,1,0.91841149,1.0284005,0.10998903,0.10998903
-20.444902,10.39866,27.712709,0.0002203157,1,0.90687118,1.0245491,0.11767789,0.11767789
-31.335745,-1.7704492,27.068254,0.00016694846,1,1.1113783,1.048327,-0.063051231,0.063051231
-30.172974,-1.948226,26.635355,0.00022218463,1,1.0343726,1.0095315,-0.024841063,0.024841063
-28.575333,-2.6315093,24.887653,0.00020842981,1,0.88348715,0.92760472,0.044117569,0.044117569
-27.424751,-2.5145943,24.133802,0.00022660488,1,0.85302116,0.89683418,0.043813012,0.043813012
-25.210089,-2.0474584,22.546106,0.00023149053,1,0.83733607,0.81352573,-0.02381034,0.02381034
-23.758909,-1.0720576,22.324228,0.00019585137,1,0.86638131,0.75992917,-0.10645214,0.10645214
-39.131615,1.4193369,21.927769,0.00020706573,1,0.84731652,1.1464554,0.29913886,0.29913886
-39.364491,1.0066812,23.607712,0.00016157442,1,0.85129938,1.2436753,0.39237588,0.39237588
-38.764095,0.018592976,22.803265,0.00020007672,1,0.77667221,1.1416662,0.36499398,0.36499398
-38.954777,0.41535941,27.018362,0.00016127231,1,1.1321241,1.3556163,0.22349221,0.22349221
-37.85117,-0.94010609,26.022575,0.00022261919,1,1.0027432,1.2822302,0.27948708,0.27948708
-38.57053,-0.21542266,26.31559,0.00020811576,1,1.0672515,1.3316601,0.26440858,0.26440858
-22.263798,12.761997,20.833391,0.00017973673,1,1.1902736,0.97933925,-0.21093438,0.21093438
-20.662647,11.241415,24.116676,0.00014855479,1,1.2042356,0.99047345,-0.21376217,0.21376217
-20.247129,6.835907,27.433136,0.00022480812,1,0.97609809,1.0688428,0.092744722,0.092744722
-20.134098,6.0966468,26.666811,0.00019557888,1,1.0601125,1.0586121,-0.0015003673,0.0015003673
-29.955616,15.312148,19.315641,0.00020491565,1,1.0783453,0.90590413,-0.17244121,0.17244121
-28.800814,15.309042,18.919003,0.00023736946,1,1.0879507,0.91058415,-0.17736653,0.17736653
-20.096466,5.4107895,25.966887,0.00022768622,1,1.1300068,1.0411818,-0.088825094,0.088825094
-19.996098,8.5129566,27.48502,0.00020548134,1,0.94333733,1.0376811,0.094343777,0.094343777
-33.571693,-2.6209362,25.544151,0.0002183817,1,0.94545219,1.0201057,0.074653554,0.074653554
-31.234116,-2.4393992,26.030067,0.00018455253,1,1.0045765,0.99154697,-0.013029492,0.013029492
-20.096279,9.9768515,26.878565,0.00020590548,1,0.97098157,1.0014979,0.030516347,0.030516347
-20.165548,10.367733,25.95788,0.00020458043,1,1.0488561,0.98851054,-0.060345541,0.060345541
-20.82547,2.868818,24.351936,0.00024516988,1,1.0839696,0.94649466,-0.13747492,0.13747492
-21.411142,1.8448371,23.751144,0.00021920112,1,1.0198564,0.89850818,-0.12134827,0.12134827
-20.225037,3.899977,24.803915,0.00019237435,1,1.1216027,0.98957668,-0.13202597,0.13202597
-21.945368,0.80185544,23.016912,0.00018123,1,0.91181894,0.83826199,-0.073556948,0.073556948
-29.906145,-2.6302507,25.491735,0.00019081362,1,0.93680856,0.95680445,0.019995894,0.019995894
-26.781507,-3.0978847,22.676868,0.0001914149,1,0.7906167,0.88072388,0.090107184,0.090107184
