x,y,z,map_dist,map_valid,wss_cfd,wss_pred,err_wss,abs_err_wss
-3.0455816,3.8983202,-202.54997,7.4816363e-06,1,1.2652947,1.3467982,0.081503533,0.081503533
-2.0858231,4.782722,-202.58392,3.3955849e-06,1,1.2144798,1.3478592,0.13337941,0.13337941
-2.8687711,4.8526745,-201.51433,8.1248462e-06,1,1.1566339,1.3478543,0.19122043,0.19122043
-3.8224876,3.9340982,-201.47368,8.616866e-06,1,1.1965928,1.3471958,0.15060294,0.15060294
-1.866102,5.6837745,-201.55603,5.5718072e-07,1,1.1040773,1.3478431,0.24376583,0.24376583
-3.913095,2.9974859,-202.48404,1.0729041e-05,1,1.2994443,1.3452243,0.045779967,0.045779967
-3.6680007,4.9210687,-200.35863,7.3948934e-06,1,1.1010143,1.3489442,0.24792987,0.24792987
-2.6286895,5.8296475,-200.40994,3.4297565e-06,1,1.0598295,1.3485413,0.2887118,0.2887118
-1.1098177,5.5478468,-202.57179,1.7419228e-05,1,1.1637871,1.3478718,0.18408469,0.18408469
-4.6675878,3.0001504,-201.43176,7.3974253e-06,1,1.2220131,1.3465713,0.12455812,0.12455812
-4.6354041,3.9266865,-200.35486,8.4391176e-06,1,1.1276514,1.3494552,0.22180379,0.22180379
-1.5634866,6.535532,-200.50485,2.3421042e-06,1,1.0151421,1.3480616,0.33291946,0.33291946
-0.84918183,6.3368053,-201.56308,5.8699903e-07,1,1.0648645,1.3473388,0.2824743,0.2824743
-4.6838126,2.0922506,-202.38901,7.583941e-06,1,1.3177305,1.3442592,0.026528682,0.026528682
-4.5230713,4.9455652,-199.13707,1.1269729e-06,1,1.0802769,1.3538632,0.27358623,0.27358623
-3.4095929,5.9791026,-199.11021,1.5811667e-05,1,1.0625859,1.3519876,0.28940174,0.28940174
-2.2535443,6.7577052,-199.25467,9.3787429e-07,1,1.0210119,1.3515018,0.3304899,0.3304899
-0.095821477,6.1389971,-202.48837,1.7201466e-05,1,1.1334143,1.3476258,0.21421156,0.21421156
-5.3795676,2.0529313,-201.4001,1.9330631e-05,1,1.241658,1.3465574,0.1048994,0.1048994
-5.4643617,2.9056249,-200.35608,9.1789816e-07,1,1.1484815,1.3501719,0.20169034,0.20169034
-5.5436058,3.8153431,-199.1553,3.9750264e-06,1,1.0888978,1.3558431,0.26694524,0.26694524
-1.1105099,7.2804751,-199.48788,1.4556997e-05,1,0.9781199,1.3513521,0.3732322,0.3732322
-0.51628023,7.0207686,-200.57245,1.1269687e-05,1,0.99526175,1.3479785,0.35271672,0.35271672
0.20640986,6.819859,-201.48589,4.6397289e-06,1,1.0496659,1.3475926,0.29792677,0.29792677
-5.3715367,1.1480438,-202.25677,5.2128927e-06,1,1.330799,1.3439009,0.013101944,0.013101944
-4.3197389,6.0123353,-197.79427,5.7782442e-06,1,1.1135317,1.3592711,0.24573939,0.24573939
-5.468123,4.9092317,-197.86859,1.4470969e-06,1,1.1046657,1.36191,0.25724431,0.25724431
-2.9904478,7.0603971,-197.74231,1.966567e-05,1,1.0898588,1.3593046,0.26944575,0.26944575
-1.6518223,7.5622897,-198.30971,7.7584445e-06,1,1.0161237,1.3572609,0.3411372,0.3411372
0.98170537,6.5659633,-202.32983,6.1383992e-06,1,1.1319082,1.3486314,0.2167232,0.2167232
-6.0172501,1.9614224,-200.46765,1.8673553e-05,1,1.1788453,1.3500528,0.17120748,0.17120748
-6.0253506,1.0915819,-201.26114,1.5842079e-06,1,1.2591559,1.3470094,0.087853448,0.087853448
-6.4599547,2.4965353,-199.18211,3.9078286e-06,1,1.1025345,1.3576449,0.25511039,0.25511039
-6.5399928,3.7255931,-197.78853,1.1610796e-05,1,1.0980244,1.3651186,0.26709427,0.26709427
-0.34189767,7.9716992,-198.56517,1.0368611e-06,1,0.96145774,1.3576869,0.39622914,0.39622914
-0.15237777,7.5412202,-199.67392,1.0341136e-05,1,0.95386623,1.3514922,0.39762593,0.39762593
0.53419274,7.3812222,-200.44939,3.5107013e-06,1,0.9847817,1.3496458,0.36486406,0.36486406
1.301335,7.1194248,-201.27562,1.4752339e-06,1,1.0588358,1.3503057,0.2914699,0.2914699
-5.9797688,0.16059539,-202.08691,6.0243115e-06,1,1.3453668,1.3438812,-0.0014856704,0.0014856704
-4.1668658,6.9324803,-196.40587,1.1477017e-05,1,1.1639533,1.3650665,0.20111328,0.20111328
-5.4188552,5.896615,-196.45177,1.3081959e-05,1,1.1551159,1.3661729,0.21105699,0.21105699
-6.3914313,4.8172264,-196.6147,4.591422e-07,1,1.133293,1.368239,0.23494597,0.23494597
-1.9866939,7.9637566,-197.05768,2.0647529e-06,1,1.0616755,1.3648122,0.30313668,0.30313668
-1.0144744,8.1451044,-197.61122,8.7261573e-06,1,1.0047699,1.3631936,0.35842371,0.35842371
2.090673,6.7947564,-202.09341,1.5696532e-05,1,1.156492,1.3526621,0.19617011,0.19617011
-6.6391592,1.1632006,-200.09946,3.2265649e-06,1,1.1877237,1.3523346,0.16461091,0.16461091
-6.5914989,0.10290958,-201.00375,3.822943e-06,1,1.2819737,1.3477061,0.065732412,0.065732412
-7.4215236,2.4963195,-197.57629,4.0791424e-06,1,1.1092423,1.3687175,0.25947521,0.25947521
-3.0079651,7.8182163,-196.1797,2.8009567e-06,1,1.130387,1.3673561,0.23696914,0.23696914
-7.4854612,3.8383095,-196.06041,1.203769e-06,1,1.1389395,1.3723456,0.23340609,0.23340609
-0.058129549,8.5338459,-197.35352,4.4959294e-06,1,0.96447573,1.3661872,0.40171144,0.40171144
0.74119788,7.8735785,-199.30367,4.8529631e-06,1,0.93765628,1.3550999,0.41744363,0.41744363
1.6035997,7.5948758,-200.13565,9.3705292e-06,1,0.98840776,1.3541874,0.3657796,0.3657796
2.4146523,7.2324653,-200.97624,2.9601328e-06,1,1.0807049,1.35565,0.27494517,0.27494517
-7.3112884,1.2413183,-198.76872,2.6566751e-06,1,1.1399332,1.3614921,0.22155888,0.22155888
-6.483079,-0.89031833,-201.86511,2.4161524e-06,1,1.3612406,1.3442413,-0.016999266,0.016999266
-5.3148656,6.8061671,-195.06581,1.3857025e-06,1,1.223111,1.3710914,0.14798036,0.14798036
-4.0164261,7.7346082,-195.02913,1.0986991e-05,1,1.2079781,1.3709346,0.16295652,0.16295652
-6.7547183,5.5611897,-195.03062,1.5654111e-05,1,1.1832539,1.3733612,0.19010737,0.19010737
-1.9508277,8.548665,-195.81703,2.0092224e-06,1,1.084898,1.3705459,0.28564788,0.28564788
