x,y,z,wss_cfd,wss_pred,err_wss,abs_err_wss
39.75316,10.527384,56.785329,5.5171466,6.2277274,0.71058083,0.71058083
40.857776,10.240969,56.682758,4.2795997,6.3125844,2.0329847,2.0329847
38.695558,10.962194,56.741122,6.9482889,6.3622837,-0.58600521,0.58600521
41.937064,10.253675,56.323045,4.4837995,6.3937373,1.9099379,1.9099379
37.756816,11.578684,56.497402,8.1820984,6.4076147,-1.7744837,1.7744837
38.967295,10.152499,55.982315,7.6815591,6.2987318,-1.3828273,1.3828273
42.890553,10.541385,55.760039,4.0231214,6.4685745,2.4454532,2.4454532
40.038095,9.8715563,55.886959,6.9953418,6.3212514,-0.67409039,0.67409039
37.032071,12.342575,56.053877,9.0523081,6.4457097,-2.6065984,2.6065984
37.956088,10.636156,55.881223,8.0297737,6.3687143,-1.6610594,1.6610594
41.098336,9.791519,55.624727,5.6385179,6.2984285,0.65991068,0.65991068
37.112593,11.31421,55.548709,8.5351763,6.3975911,-2.1375852,2.1375852
-52.841405,13.907305,60.682263,4.9015455,7.7887063,2.8871608,2.8871608
42.087747,9.9305333,55.19213,3.9473116,6.3956313,2.4483197,2.4483197
43.675787,11.021256,55.08089,2.3839097,6.4743257,4.090416,4.090416
-51.746721,14.063776,60.566699,5.2663822,7.765398,2.4990158,2.4990158
36.614547,13.19101,55.436189,9.7323866,6.4721775,-3.2602091,3.2602091
39.256819,9.4387247,55.138119,10.247503,6.3364325,-3.9110708,3.9110708
38.212273,9.7783,55.171005,9.3479643,6.4291253,-2.918839,2.918839
-53.907815,14.021126,60.412768,5.7934241,7.8201127,2.0266886,2.0266886
40.306551,9.3111446,54.925341,9.8204584,6.3699207,-3.4505377,3.4505377
-50.713607,14.425092,60.151038,5.6784449,7.7558217,2.0773768,2.0773768
37.281093,10.353565,54.963383,9.0470724,6.4360189,-2.6110535,2.6110535
36.506476,12.121599,55.027084,9.1799746,6.4071951,-2.7727795,2.7727795
42.935614,10.297175,54.626854,2.1191235,6.462904,4.3437805,4.3437805
-52.214413,13.181821,60.024456,4.7166028,7.7113504,2.9947476,2.9947476
41.307969,9.3801997,54.564837,7.7233415,6.4010067,-1.3223348,1.3223348
-53.328037,13.139111,59.971676,4.8099942,7.7132239,2.9032297,2.9032297
44.147126,11.722425,54.306856,1.3191501,6.5212188,5.2020687,5.2020687
-51.155622,13.448863,59.752679,5.2961826,7.6994214,2.4032388,2.4032388
36.509296,14.057075,54.702057,9.6437101,6.5495992,-3.094111,3.094111
-54.862545,14.31187,59.900471,6.4602237,7.811461,1.3512373,1.3512373
-49.808867,14.887423,59.577653,5.2236938,7.7477174,2.5240235,2.5240235
36.538876,11.085653,54.544328,9.2153845,6.4798222,-2.7355623,2.7355623
38.494078,8.9964429,54.396132,10.223103,6.4072471,-3.8158555,3.8158555
39.545157,8.7647368,54.267117,10.674237,6.3989673,-4.27527,4.27527
42.203745,9.639857,54.090938,4.5246,6.4870443,1.9624443,1.9624443
